CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31
30706475,6630,5680006,3704234,311429,337540,3055265,,401399,399024,,50000,2107156,2206180,0,1069716,,,688400,,8533817,2944014,3378031,3046274,331757,2542127,2197370,344757,835904,0,688400,0,7
46046014,6612,4884097,10277226,916754,9259389,101053,81340,6617886,0,,131603,29515000,29515000,,9868132,,,,11153694,8493174,919945,2291412,926610,1364802,13445106,12655707,789399,0,11153694,0,11153694,19
45094331,6630,857279,101247,99074,2173,,32174,2115540,39089,254,20724,3045000,3045000,,2956130,,,,1273777,-1184907,3000000,3009874,3007957,1917,4496598,4333943,162655,0,1486724,0,1273777,2
45084419,6499,26721326,2962648,2383510,579138,,19523,90874,28332765,,,,,,,,,570719,,1279858,1850056,1888959,1850056,38903,1318240,1293756,24484,570719,0,570719,0,4
6175133,6630,11291897,2128852,411265,1716130,,105937,9318272,,,153623,10054323,10054323,,3620710,,,,3354582,4054791,3824306,4779643,4758208,21435,8134225,7820592,313633,0,3354582,0,3354582,21
9415761,6499,357562,39567764,8651840,9835932,21079992,24885,2246690,0,0,5871197,2348960,1200000,390529,0,0,1148960,22975105,0,31832324,43186940,44660938,43244937,1416001,17574222,17537590,36632,27086716,0,22975105,0,28
9427502,6499,1692432,35402722,23606,35379116,,8517,31087362,102217,7333,,2926225,2600000,499128,,,,1961406,,5906759,4297625,6894645,4319221,2575424,4522371,4337971,184400,2372274,0,1961406,0,17
8099938,6499,3982418,49188170,545994,43953779,4688397,62455,39979716,212899,,,9195821,9195821,119339,,,,,517994,13040428,4440793,7840346,4443175,3397171,8358340,6625686,1732654,0,517994,0,517994,35
6838953,6612,6746448,872505462,38140068,834399448,-34180,536671,796610264,,20270,3685273,20684319,19478221,30891654,,,,25547313,,79472774,74692222,105860087,78368488,27491599,76105604,57428635,18676969,29754483,0,25547313,0,58
8550816,6499,754320,1248334,215726,1032608,,6952,504596,68337,1419,6578,3110000,2528000,,2149987,,,,79649,1428676,1213348,1268094,1248125,19969,1340818,1457287,-116469,0,72724,0,79649,9
47052090,6201,1311702,312020,154680,157340,,15162,53917,,,,2050000,2050000,,141353,,,,323680,1584967,,4723,,4723,328403,327372,1031,0,323680,0,323680,
17269861,6499,163927051,27088602,5413806,607843,21066953,147314,15220076,10032882,22724,2401307,20720875,7165700,,318565,,,37505004,,163485978,56150041,67979739,56184067,11795672,26318570,23150502,3168068,41661169,0,37505004,0,37
10679295,6499,1560183,64853554,3998230,60604835,249147,69231,61250697,41653,37815,118677,3677692,3323000,1492414,0,0,349804,0,842594,5034125,6368626,10630104,6476364,4153740,11472698,10595472,877226,0,842594,0,842594,47
42141358,6201,8553128,2996677,1684872,447829,863227,108658,1041156,3961681,212705,110728,2653282,684682,0,19678914,,,0,10607479,6332193,4904433,5044169,4914552,129617,15651648,14651206,1000442,0,10607479,0,10607479,17
22688130,6630,1335265,15964531,13577964,2386567,,4141,4094729,482734,,,,,4748955,,,,7977519,,12726474,12758211,13842473,12758218,1084255,4286030,3331904,954126,9556443,0,7977517,0,3
22264941,6630,203707,17824976,1215375,512435,16097166,84520,938922,,1978,1018953,5795323,5795323,,,,,1939435,0,16153350,10241781,11023329,10256392,766937,8729058,8712261,16797,2294271,0,1939435,0,15
8579448,6612,1084204,2091829,73024,2018805,,,1575925,544118,,,1871280,1871280,,142044,,,,758443,1055990,247485,582974,247485,335489,1341417,1235507,105910,0,758443,0,758443,9
24467322,6630,647068,3352740,1782294,1570446,,16531,604811,253032,,,910000,910000,,,,,2066496,,3158496,7689175,7774064,7689175,84889,5222723,5143952,78771,2551341,0,2066496,0,12
7448690,6499,5342670,25436552,9388,25427164,,46664,23768035,,,,4265361,400000,1475072,,,,363355,0,7057851,1072470,1588876,1147853,441023,1188442,1182473,5969,400434,0,363355,0,8
9356240,6499,1105527,7665200,135613,7529587,,1783,6971045,228152,,,2454479,1811200,,1510570,,,,359234,1573314,457604,780773,462053,318720,1140007,1098936,41071,0,359234,0,359234,8
7627369,6630,10772268,1044973,682612,362361,0,133415,434176,64679,1491,142839,5135321,5200000,109374,0,0,0,4609927,0,11307471,8034916,8275829,8035325,240504,2837806,2795728,42078,5438023,0,4609927,0,11
44221810,6492,411760,569925,254897,315028,,14431,285910,,,,350390,350390,,657014,,,,684267,710206,153998,186135,167823,18312,1000640,968862,31778,0,814505,0,684267,4
47466555,6630,,1018039,527412,490627,,50,240252,,,,,,,,,,777837,,777837,1799096,1803252,1799096,4156,860018,847734,12284,943234,0,777837,0,1
24566377,6630,4839018,32290958,7763766,268042,24259150,805754,6179643,630552,,2217824,6000000,6000000,1611884,,,,6986515,,28907909,57785075,66000143,64581321,1418822,57657223,57491125,166098,8342920,0,6986515,0,26
11070990,6630,22471949,3289500,540546,279293,2469661,15514,4965160,454801,,92716,17678047,430000,1023195,,,,1468035,,20264286,4004444,5819451,4004463,1814988,4351318,2030635,2320683,1468133,0,1468035,0,7
8450590,6499,126927800,55760653,37501549,2525459,15733645,689454,59616773,1115280,,378610,71713641,9348840,54246731,,,759939,,4806210,122267244,33106064,68856945,33158939,35698006,74571465,19456921,55114544,0,5714520,0,4806210,18
42037331,6630,191355,379804,120811,258993,,17715,134812,15111,537,,3175440,3175440,,2887283,,,150257,,438414,1523668,1571923,1570049,1874,1379701,1359946,19755,192222,0,150257,0,0
9814029,6499,380789,30988226,1679255,26277841,3031130,,25007087,328165,,58675,8497993,7061327,0,1328398,0,1436666,141096,0,5975088,2847669,7401260,2878141,4523119,7260164,5878829,1381335,141096,0,141096,0,9
1562694,6611,80019305,731050853,321059276,409989152,,988445,663160607,,3132450,,8104868,8000000,104846617,,,104868,32300903,,145765546,22069102,55047012,22179669,32867343,17187501,16716605,470896,37859511,0,32300903,0,19
18102976,6630,13270992,60411690,5035564,29720044,25656082,158150,14103368,618768,7338,843628,10656000,10656000,25943300,,,,19537230,,58267730,48598064,51822967,48608650,3214317,28699501,27832997,866504,23123466,0,19537230,0,26
22227862,6430,320563,2171705,353572,609235,1208898,28065,367691,81756,,2004,1773600,1773600,,710917,,,840892,0,2068882,3524594,3618863,3524594,94269,2631635,2557641,73994,987228,0,840892,0,5
17772595,6499,1527072,560687,234572,326115,,8566,115416,174238,,,945910,913724,60118,,,,617898,,1806671,2072454,2091481,2072457,19024,1369979,1360929,9050,721502,0,617898,0,9
9881370,6499,5357722,499208,223047,276161,,,203509,796551,,,5246454,400000,,958851,,433394,436378,,4856870,579737,886040,579737,306303,437233,437217,16,448807,0,436378,0,3
13236071,6630,2035064,39483892,5087252,2329816,32058137,137601,5712254,1605889,0,2471011,4000000,4000000,18265756,0,0,0,8710829,0,31867403,47025737,48762776,47027984,1734792,38359783,38232193,127590,10402993,0,8710829,0,21
